Audrey, 	Atlantic, 	Hurricane, 	1957
Agnes, 	Atlantic, 	Hurricane, 	1972
Anita, 	Atlantic, 	Hurricane, 	1977
Allen, 	Atlantic, 	Hurricane, 	1980
Alicia, 	Atlantic, 	Hurricane, 	1983
Andrew, 	Atlantic, 	Hurricane, 	1992
Allison, 	Atlantic, 	Hurricane, 	2001
Betsy, 	Atlantic, 	Hurricane, 	1965
Beulah, 	Atlantic, 	Hurricane, 	1967
Bob, 	Atlantic, 	Hurricane, 	1991
Connie, 	Atlantic, 	Hurricane, 	1955
Carla, 	Atlantic, 	Hurricane, 	1961
Cleo, 	Atlantic, 	Hurricane, 	1964
Carol, 	Atlantic, 	Hurricane, 	1965
Camille, 	Atlantic, 	Hurricane, 	1969
Celia, 	Atlantic, 	Hurricane, 	1970
Carmen, 	Atlantic, 	Hurricane, 	1974
Cesar, 	Atlantic, 	Hurricane, 	1996
Charley, 	Atlantic, 	Hurricane, 	2004
Diane, 	Atlantic, 	Hurricane, 	1955
Donna, 	Atlantic, 	Hurricane, 	1960
Dora, 	Atlantic, 	Hurricane, 	1964
David, 	Atlantic, 	Hurricane, 	1979
Diana, 	Atlantic, 	Hurricane, 	1990
Dennis, 	Atlantic, 	Hurricane, 	2005
Dean, 	Atlantic, 	Hurricane, 	2007
Edna, 	Atlantic, 	Hurricane, 	1968
Eloise, 	Atlantic, 	Hurricane, 	1975
Elena, 	Atlantic, 	Hurricane, 	1985
Erika, 	Atlantic, 	Hurricane, 	2015
Flora, 	Atlantic, 	Hurricane, 	1963
Fifi, 	Atlantic, 	Hurricane, 	1974
Frederic, 	Atlantic, 	Hurricane, 	1979
Fran, 	Atlantic, 	Hurricane, 	1996
Floyd, 	Atlantic, 	Hurricane, 	1999
Fabian, 	Atlantic, 	Hurricane, 	2003
Frances, 	Atlantic, 	Hurricane, 	2004
Felix, 	Atlantic, 	Hurricane, 	2007
Greta, 	Atlantic, 	Hurricane, 	1978
Gloria, 	Atlantic, 	Hurricane, 	1985
Gilbert, 	Atlantic, 	Hurricane, 	1988
Georges, 	Atlantic, 	Hurricane, 	1998
Gustav, 	Atlantic, 	Hurricane, 	2008
Hazel, 	Atlantic, 	Hurricane, 	1954
Hattie, 	Atlantic, 	Hurricane, 	1961
Hilda, 	Atlantic, 	Hurricane, 	1964
Hugo, 	Atlantic, 	Hurricane, 	1989
Hortense, 	Atlantic, 	Hurricane, 	1996
Ione, 	Atlantic, 	Hurricane, 	1955
Inez, 	Atlantic, 	Hurricane, 	1966
Iris, 	Atlantic, 	Hurricane, 	2001
Isidore, 	Atlantic, 	Hurricane, 	2002
Isabel, 	Atlantic, 	Hurricane, 	2003
Ivan, 	Atlantic, 	Hurricane, 	2004
Ike, 	Atlantic, 	Hurricane, 	2008
Igor, 	Atlantic, 	Hurricane, 	2010
Irene, 	Atlantic, 	Hurricane, 	2011
Ingrid, 	Atlantic, 	Hurricane, 	2013
Janet, 	Atlantic, 	Hurricane, 	1955
Joan, 	Atlantic, 	Hurricane, 	1988
Juan, 	Atlantic, 	Hurricane, 	2003
Jeanne, 	Atlantic, 	Hurricane, 	2004
Joaquin, 	Atlantic, 	Hurricane, 	2015
Klaus, 	Atlantic, 	Hurricane, 	1990
Keith, 	Atlantic, 	Hurricane, 	2000
Katrina, 	Atlantic, 	Hurricane, 	2005
Luis, 	Atlantic, 	Hurricane, 	1995
Lenny, 	Atlantic, 	Hurricane, 	1999
Lili, 	Atlantic, 	Hurricane, 	2002
Marilyn, 	Atlantic, 	Hurricane, 	1995
Mitch, 	Atlantic, 	Hurricane, 	1998
Michelle, 	Atlantic, 	Hurricane, 	2001
Noel, 	Atlantic, 	Hurricane, 	2007
Opal, 	Atlantic, 	Hurricane, 	1995
Paloma, 	Atlantic, 	Hurricane, 	2008
Roxanne, 	Atlantic, 	Hurricane, 	1995
Rita, 	Atlantic, 	Hurricane, 	2005
Stan, 	Atlantic, 	Hurricane, 	2005
Sandy, 	Atlantic, 	Hurricane, 	2012
Tomas, 	Atlantic, 	Hurricane, 	2010
Wilma, 	Atlantic, 	Hurricane, 	2005
Adele, 	East Pacific, 	Hurricane, 	1970
Adolph, 	East Pacific, 	Hurricane, 	2001
Alma, 	East Pacific, 	Hurricane, 	2008
Fico, 	East Pacific, 	Hurricane, 	1978
Fefa, 	East Pacific, 	Hurricane, 	1991
Hazel, 	East Pacific, 	Hurricane, 	1965
Iva, 	East Pacific, 	Hurricane, 	1988
Ismael, 	East Pacific, 	Hurricane, 	1995
Israel, 	East Pacific, 	Hurricane, 	2001
Isis, 	East Pacific, 	Hurricane, 	2016
Knut, 	East Pacific, 	Hurricane, 	1988
Kenna, 	East Pacific, 	Hurricane, 	2002
Manuel, 	East Pacific, 	Hurricane, 	2013
Odile, 	East Pacific, 	Hurricane, 	2014
Pauline, 	East Pacific, 	Hurricane, 	1997
Patricia, 	East Pacific, 	Hurricane, 	2015
Iwa, 	Central Pacific, 	Hurricane, 	1982
Iniki, 	Central Pacific, 	Hurricane, 	1992
Ioke, 	Central Pacific, 	Hurricane, 	2006
Paka, 	Central Pacific, 	Hurricane, 	1997
Bess, 	Western Pacific, 	Typhoon, 	1974
Bess, 	Western Pacific, 	Typhoon, 	1982
Bilis, 	Western Pacific, 	Typhoon, 	2006
Bopha, 	Western Pacific, 	Typhoon, 	2012
Chanchu, 	Western Pacific, 	Typhoon, 	2006
Chataan, 	Western Pacific, 	Typhoon, 	2002
Durian, 	Western Pacific, 	Typhoon, 	2006
Fanapi, 	Western Pacific, 	Typhoon, 	2010
Fitow, 	Western Pacific, 	Typhoon, 	2013
Hanuman, 	Western Pacific, 	Typhoon, 	2002
Haiyan, 	Western Pacific, 	Typhoon, 	2013
